brand,description,price_usd,type,clothing_type,clothing_category,type_encoded,brand_encoded,clothing_category_encoded
Rick Owens,Black Moncler Edition Down Coat,2585,mens,Down Coat,Coat,0,454,39
Rick Owens,Black Moncler Edition Cyclopic Down Coat,2405,mens,Down Coat,Coat,0,454,39
Rick Owens,Black Moncler Edition Cyclopic Down Jacket,3160,mens,Down Jacket,Jacket,0,454,70
Rick Owens,Taupe & Green Moncler Edition Down Coat,3505,mens,Down Coat,Coat,0,454,39
Rick Owens,Taupe & Green Moncler Edition Cyclopic Down Jacket,2885,mens,Down Jacket,Jacket,0,454,70
Rick Owens,Taupe Moncler Edition Cyclopic Down Jacket,2885,mens,Down Jacket,Jacket,0,454,70
Rick Owens,Taupe Moncler Edition Radiance Down Jacket,2680,mens,Down Jacket,Jacket,0,454,70
Rick Owens,Taupe & Green Moncler Edition Down Vest,2680,mens,Down Vest,Vest,0,454,145
Rick Owens,Black Moncler Edition Radiance Down Jacket,2035,mens,Down Jacket,Jacket,0,454,70
Rick Owens,Taupe & Green Moncler Edition Subhuman Sweatshirt,720,mens,Subhuman Sweatshirt,Sweatshirt,0,454,130
Rick Owens,Black Moncler Edition Radiance Down Scarf,605,mens,Down Scarf,Scarf,0,454,105
Rick Owens,Black Moncler Edition Berlin Sweatpants,690,mens,Berlin Sweatpants,Sweatpants,0,454,129
Rick Owens,Taupe & Green Moncler Edition Tank Top,635,mens,Tank Top,Top,0,454,140
Rick Owens,Black Moncler Edition Shorts,455,mens,Edition Shorts,Shorts,0,454,111
Rick Owens,Taupe & Green Moncler Edition Berlin Sweatpants,895,mens,Berlin Sweatpants,Sweatpants,0,454,129
Rick Owens,Taupe Moncler Edition Level T-Shirt,430,mens,Level T-Shirt,T-Shirt,0,454,132
Rick Owens,Black Moncler Edition Patch Beanie,320,mens,Patch Beanie,Beanie,0,454,5
Rick Owens,Black Moncler Edition Level T-Shirt,430,mens,Level T-Shirt,T-Shirt,0,454,132
Rick Owens,Black Moncler Edition Patch Cap,330,mens,Patch Cap,Cap,0,454,30
Justine Clenquet,SSENSE Exclusive Green & Black Drew Sunglasses,300,mens,Drew Sunglasses,Sunglasses,0,268,127
Justine Clenquet,SSENSE Exclusive Black Neve Sunglasses,280,mens,Neve Sunglasses,Sunglasses,0,268,127
Justine Clenquet,SSENSE Exclusive Orange Drew Sunglasses,300,mens,Drew Sunglasses,Sunglasses,0,268,127
Justine Clenquet,SSENSE Exclusive Black Drew Sunglasses,300,mens,Drew Sunglasses,Sunglasses,0,268,127
Justine Clenquet,SSENSE Exclusive Brown Neve Sunglasses,280,mens,Neve Sunglasses,Sunglasses,0,268,127
Burberry,Khaki Bradford Reversible Coat,3650,mens,Reversible Coat,Coat,0,85,39
Burberry,Beige & Black Vintage Check Reversible Down Jacket,2350,mens,Down Jacket,Jacket,0,85,70
Burberry,Yellow & Gray Check Cap,530,mens,Check Cap,Cap,0,85,30
Burberry,Blue & White Check Cap,530,mens,Check Cap,Cap,0,85,30
We11done,Gray Oversized Blazer,845,mens,Oversized Blazer,Blazer,0,581,9
We11done,Black Oversized Blazer,845,mens,Oversized Blazer,Blazer,0,581,9
We11done,Blue 1506 Denim Jacket,480,mens,Denim Jacket,Jacket,0,581,70
We11done,Black 1506 Denim Jacket,480,mens,Denim Jacket,Jacket,0,581,70
We11done,Black Oversized Denim Jacket,500,mens,Denim Jacket,Jacket,0,581,70
We11done,Blue Oversized Denim Jacket,500,mens,Denim Jacket,Jacket,0,581,70
We11done,Black Zip Jacket,490,mens,Zip Jacket,Jacket,0,581,70
We11done,Black Painted Hoodie,640,mens,Painted Hoodie,Hoodie,0,581,67
We11done,Gray Pocket Cardigan,395,mens,Pocket Cardigan,Cardigan,0,581,31
We11done,Black Pocket Cardigan,395,mens,Pocket Cardigan,Cardigan,0,581,31
We11done,Blue & Brown Raglan Jacket,695,mens,Raglan Jacket,Jacket,0,581,70
We11done,Brown & Yellow Raglan Jacket,695,mens,Raglan Jacket,Jacket,0,581,70
We11done,Gray Wappen Hoodie,425,mens,Wappen Hoodie,Hoodie,0,581,67
We11done,Gray JQD Sweater,430,mens,JQD Sweater,Sweater,0,581,128
We11done,Gray Jacquard Sweater,535,mens,Jacquard Sweater,Sweater,0,581,128
We11done,Black Jacquard Sweater,535,mens,Jacquard Sweater,Sweater,0,581,128
We11done,Black JQD Sweater,430,mens,JQD Sweater,Sweater,0,581,128
We11done,Black Graphic Long Sleeve T-Shirt,590,mens,Sleeve T-Shirt,T-Shirt,0,581,132
We11done,White 3/4 Shirt,590,mens,3/4 Shirt,Shirt,0,581,108
We11done,Black 3/4 Shirt,590,mens,3/4 Shirt,Shirt,0,581,108
We11done,Gray Necklace Teddy T-Shirt,360,mens,Teddy T-Shirt,T-Shirt,0,581,132
We11done,Navy Wave T-Shirt,215,mens,Wave T-Shirt,T-Shirt,0,581,132
We11done,Gray Wave T-Shirt,215,mens,Wave T-Shirt,T-Shirt,0,581,132
We11done,Black Wave T-Shirt,215,mens,Wave T-Shirt,T-Shirt,0,581,132
We11done,White Teddy Bear T-Shirt,265,mens,Bear T-Shirt,T-Shirt,0,581,132
We11done,Black Teddy Bear T-Shirt,265,mens,Bear T-Shirt,T-Shirt,0,581,132
We11done,Gray Printed T-Shirt,235,mens,Printed T-Shirt,T-Shirt,0,581,132
We11done,White Printed T-Shirt,235,mens,Printed T-Shirt,T-Shirt,0,581,132
We11done,Black Printed T-Shirt,235,mens,Printed T-Shirt,T-Shirt,0,581,132
We11done,Off-White Embroidered T-Shirt,210,mens,Embroidered T-Shirt,T-Shirt,0,581,132
We11done,White Printed T-Shirt,300,mens,Printed T-Shirt,T-Shirt,0,581,132
We11done,Black Teddy T-Shirt,305,mens,Teddy T-Shirt,T-Shirt,0,581,132
We11done,White Colorful Teddy T-Shirt,345,mens,Teddy T-Shirt,T-Shirt,0,581,132
We11done,Gray Colorful Teddy T-Shirt,345,mens,Teddy T-Shirt,T-Shirt,0,581,132
We11done,Black Colorful Teddy T-Shirt,345,mens,Teddy T-Shirt,T-Shirt,0,581,132
We11done,Gray Teddy T-Shirt,325,mens,Teddy T-Shirt,T-Shirt,0,581,132
We11done,Off-White Teddy T-Shirt,305,mens,Teddy T-Shirt,T-Shirt,0,581,132
We11done,Black Necklace Teddy T-Shirt,360,mens,Teddy T-Shirt,T-Shirt,0,581,132
We11done,Black Overdyed T-Shirt,385,mens,Overdyed T-Shirt,T-Shirt,0,581,132
We11done,White Printed T-Shirt,220,mens,Printed T-Shirt,T-Shirt,0,581,132
We11done,Gray Printed T-Shirt,220,mens,Printed T-Shirt,T-Shirt,0,581,132
We11done,Black Printed T-Shirt,220,mens,Printed T-Shirt,T-Shirt,0,581,132
We11done,Black Printed T-Shirt,300,mens,Printed T-Shirt,T-Shirt,0,581,132
We11done,Black Basic Large T-Shirt,275,mens,Large T-Shirt,T-Shirt,0,581,132
We11done,Black Printed T-Shirt,160,mens,Printed T-Shirt,T-Shirt,0,581,132
We11done,Black Painted Sweatpants,505,mens,Painted Sweatpants,Sweatpants,0,581,129
We11done,Black Logo On Front Cap,155,mens,Front Cap,Cap,0,581,30
We11done,Gray WD One Logo Cap,170,mens,Logo Cap,Cap,0,581,30
We11done,Black WD One Logo Cap,170,mens,Logo Cap,Cap,0,581,30
We11done,Black Logo Cap,210,mens,Logo Cap,Cap,0,581,30
ZEGNA,Green Three-Button Polo,535,mens,Three-Button Polo,Polo,0,600,96
ZEGNA,Taupe Three-Button Polo,535,mens,Three-Button Polo,Polo,0,600,96
Versace Jeans Couture,Black Bonded T-Shirt,125,mens,Bonded T-Shirt,T-Shirt,0,569,132
Versace Jeans Couture,Blue Bonded T-Shirt,125,mens,Bonded T-Shirt,T-Shirt,0,569,132
Versace Jeans Couture,Khaki Bonded T-Shirt,125,mens,Bonded T-Shirt,T-Shirt,0,569,132
Versace Jeans Couture,White Bonded T-Shirt,125,mens,Bonded T-Shirt,T-Shirt,0,569,132
Versace Jeans Couture,Black V-Emblem T-Shirt,120,mens,V-Emblem T-Shirt,T-Shirt,0,569,132
Versace Jeans Couture,White V-Emblem T-Shirt,120,mens,V-Emblem T-Shirt,T-Shirt,0,569,132
Versace Jeans Couture,Black Watercolor Couture T-Shirt,225,mens,Couture T-Shirt,T-Shirt,0,569,132
Versace Jeans Couture,White Watercolor Couture T-Shirt,225,mens,Couture T-Shirt,T-Shirt,0,569,132
Versace Jeans Couture,Black Drawstring Sweatpants,220,mens,Drawstring Sweatpants,Sweatpants,0,569,129
Versace Jeans Couture,White Drawstring Sweatpants,220,mens,Drawstring Sweatpants,Sweatpants,0,569,129
NEEDLES,Black C.P. Coat,620,mens,C.P. Coat,Coat,0,366,39
NEEDLES,Khaki C.P. Coat,620,mens,C.P. Coat,Coat,0,366,39
NEEDLES,Black C.P. Jacket,525,mens,C.P. Jacket,Jacket,0,366,70
NEEDLES,Black Zipped Cardigan,375,mens,Zipped Cardigan,Cardigan,0,366,31
NEEDLES,Navy Zipped Cardigan,375,mens,Zipped Cardigan,Cardigan,0,366,31
NEEDLES,Green Zipped Cardigan,375,mens,Zipped Cardigan,Cardigan,0,366,31
NEEDLES,Pink Zipped Cardigan,375,mens,Zipped Cardigan,Cardigan,0,366,31
NEEDLES,Indigo M.W. Denim Jacket,455,mens,Denim Jacket,Jacket,0,366,70
NEEDLES,Green Cowboy Jacket,375,mens,Cowboy Jacket,Jacket,0,366,70
NEEDLES,Brown Cowboy Jacket,375,mens,Cowboy Jacket,Jacket,0,366,70
NEEDLES,Black Cowboy Jacket,375,mens,Cowboy Jacket,Jacket,0,366,70
NEEDLES,Black H.D. Apron Trousers,560,mens,Apron Trousers,Trousers,0,366,142
NEEDLES,Tan H.D. Apron Trousers,560,mens,Apron Trousers,Trousers,0,366,142
NEEDLES,Indigo Boot-Cut Jeans,315,mens,Boot-Cut Jeans,Jeans,0,366,72
NEEDLES,Brown Cowboy Trousers,305,mens,Cowboy Trousers,Trousers,0,366,142
NEEDLES,Black Cowboy Trousers,305,mens,Cowboy Trousers,Trousers,0,366,142
SOPHNET.,Black & White Moulin Zip Jacket,810,mens,Zip Jacket,Jacket,0,469,70
SOPHNET.,Black & White Moulin Shirt Jacket,590,mens,Shirt Jacket,Jacket,0,469,70
SOPHNET.,Black Varsity Bomber Jacket,1015,mens,Bomber Jacket,Jacket,0,469,70
SOPHNET.,Black Baggy Shirt,295,mens,Baggy Shirt,Shirt,0,469,108
SOPHNET.,Gray Baggy Shirt,295,mens,Baggy Shirt,Shirt,0,469,108
SOPHNET.,Gray Abstract Sweater,365,mens,Abstract Sweater,Sweater,0,469,128
SOPHNET.,Multicolor Abstract Sweater,365,mens,Abstract Sweater,Sweater,0,469,128
SOPHNET.,Black Gusset Cargo Pants,425,mens,Cargo Pants,Pants,0,469,91
Uniform Bridge,Black Double Knee Trousers,245,mens,Knee Trousers,Trousers,0,555,142
ACRONYM®,Black J70-BU Jacket,1430,mens,J70-BU Jacket,Jacket,0,16,70
Helmut Lang,Black Raglan Sleeve Sweater,375,mens,Sleeve Sweater,Sweater,0,234,128
Helmut Lang,Beige Buttoned Shirt,450,mens,Buttoned Shirt,Shirt,0,234,108
Helmut Lang,White Utility Shirt,325,mens,Utility Shirt,Shirt,0,234,108
Helmut Lang,Taupe Military Trousers,425,mens,Military Trousers,Trousers,0,234,142
Helmut Lang,Beige Carpenter Trousers,450,mens,Carpenter Trousers,Trousers,0,234,142
Helmut Lang,Black Utility Trousers,395,mens,Utility Trousers,Trousers,0,234,142
Nike,Off-White Swoosh Bomber Jacket,500,mens,Bomber Jacket,Jacket,0,378,70
N.Hoolywood,Gray Drop Shoulder Bomber Jacket,810,mens,Bomber Jacket,Jacket,0,363,70
Soar Running,Orange Trail Rain Jacket,325,mens,Rain Jacket,Jacket,0,497,70
Soar Running,Khaki Mock Neck Sweatshirt,145,mens,Neck Sweatshirt,Sweatshirt,0,497,130
Soar Running,Black Race Long-Sleeve T-Shirt,115,mens,Long-Sleeve T-Shirt,T-Shirt,0,497,132
Soar Running,Gray Printed Long Sleeve T-Shirt,130,mens,Sleeve T-Shirt,T-Shirt,0,497,132
Soar Running,Green Graphene Tank Top,210,mens,Tank Top,Top,0,497,140
Soar Running,Navy Dual Shorts,145,mens,Dual Shorts,Shorts,0,497,111
ICECREAM,Red Embroidered Bomber Jacket,310,mens,Bomber Jacket,Jacket,0,245,70
ICECREAM,White & Green Striped Cardigan,185,mens,Striped Cardigan,Cardigan,0,245,31
ICECREAM,Black Piano Popover Hoodie,145,mens,Popover Hoodie,Hoodie,0,245,67
ICECREAM,White Piano Popover Hoodie,145,mens,Popover Hoodie,Hoodie,0,245,67
ICECREAM,Black Cherub Popover Hoodie,145,mens,Popover Hoodie,Hoodie,0,245,67
ICECREAM,Black Running Dog Hoodie,145,mens,Dog Hoodie,Hoodie,0,245,67
