brand,description,price_usd,type,clothing_type,clothing_category,type_encoded,brand_encoded,clothing_category_encoded,Colors
Rick Owens,Black Moncler Edition Down Coat,2585,mens,Down Coat,Coat,0,454,39,Black
Rick Owens,Black Moncler Edition Cyclopic Down Coat,2405,mens,Down Coat,Coat,0,454,39,Black
Rick Owens,Black Moncler Edition Cyclopic Down Jacket,3160,mens,Down Jacket,Jacket,0,454,70,Black
Rick Owens,Taupe & Green Moncler Edition Down Coat,3505,mens,Down Coat,Coat,0,454,39,"Green, Taupe"
Rick Owens,Taupe & Green Moncler Edition Cyclopic Down Jacket,2885,mens,Down Jacket,Jacket,0,454,70,"Green, Taupe"
Rick Owens,Taupe Moncler Edition Cyclopic Down Jacket,2885,mens,Down Jacket,Jacket,0,454,70,Taupe
Rick Owens,Taupe Moncler Edition Radiance Down Jacket,2680,mens,Down Jacket,Jacket,0,454,70,Taupe
Rick Owens,Taupe & Green Moncler Edition Down Vest,2680,mens,Down Vest,Vest,0,454,145,"Green, Taupe"
Rick Owens,Black Moncler Edition Radiance Down Jacket,2035,mens,Down Jacket,Jacket,0,454,70,Black
Rick Owens,Taupe & Green Moncler Edition Subhuman Sweatshirt,720,mens,Subhuman Sweatshirt,Sweatshirt,0,454,130,"Green, Taupe"
Rick Owens,Black Moncler Edition Radiance Down Scarf,605,mens,Down Scarf,Scarf,0,454,105,Black
Rick Owens,Black Moncler Edition Berlin Sweatpants,690,mens,Berlin Sweatpants,Sweatpants,0,454,129,Black
Rick Owens,Taupe & Green Moncler Edition Tank Top,635,mens,Tank Top,Top,0,454,140,"Green, Taupe"
Rick Owens,Black Moncler Edition Shorts,455,mens,Edition Shorts,Shorts,0,454,111,Black
Rick Owens,Taupe & Green Moncler Edition Berlin Sweatpants,895,mens,Berlin Sweatpants,Sweatpants,0,454,129,"Green, Taupe"
Rick Owens,Taupe Moncler Edition Level T-Shirt,430,mens,Level T-Shirt,T-Shirt,0,454,132,Taupe
Rick Owens,Black Moncler Edition Patch Beanie,320,mens,Patch Beanie,Beanie,0,454,5,Black
Rick Owens,Black Moncler Edition Level T-Shirt,430,mens,Level T-Shirt,T-Shirt,0,454,132,Black
